VSP,Pango_Lineage,Collection_Date,Rationale,Percent_5x_Coverage,Mean_Coverage,GISAID_ID,NCBI_Accession
VSP1517,B.1.637,3/31/2021,surveillance,99,2141,hCoV-19/USA/NJ-VSP1517/2021,MZ156635
VSP1518,None,3/31/2021,surveillance,99,734,hCoV-19/USA/NJ-VSP1518/2021,MZ156636
VSP1519,R.1,3/31/2021,surveillance,97.8,1672,hCoV-19/USA/NJ-VSP1519/2021,MZ156637
VSP1520,B.1.2,3/31/2021,surveillance,99.1,5254,hCoV-19/USA/PA-VSP1520/2021,MZ156638
VSP1521,B.1.243,3/31/2021,surveillance,99.7,7957,hCoV-19/USA/PA-VSP1521/2021,MZ156639
VSP1522,B.1.1.7,3/31/2021,surveillance,99.7,4762,hCoV-19/USA/PA-VSP1522/2021,MZ156640
VSP1523,B.1.526,3/31/2021,surveillance,99.7,5225,hCoV-19/USA/PA-VSP1523/2021,MZ156641
VSP1524,B.1.526,3/31/2021,surveillance,99.5,4412,hCoV-19/USA/PA-VSP1524/2021,MZ156642
VSP1526,B.1.1.7,3/31/2021,surveillance,99.1,3901,hCoV-19/USA/PA-VSP1526/2021,MZ156643
VSP1527,B.1.1.7,3/31/2021,surveillance,99.2,4034,hCoV-19/USA/PA-VSP1527/2021,MZ156644
VSP1528,B.1.1.7,3/31/2021,surveillance,99.7,8556,hCoV-19/USA/PA-VSP1528/2021,MZ156645
VSP1529,B.1.1.519,3/31/2021,surveillance,99.6,8181,hCoV-19/USA/PA-VSP1529/2021,MZ156646
VSP1530,B.1.637,3/31/2021,surveillance,99.5,4826,hCoV-19/USA/PA-VSP1530/2021,MZ156647
VSP1531,B.1.1.7,3/31/2021,surveillance,99.3,4140,hCoV-19/USA/PA-VSP1531/2021,MZ156648
VSP1532,B.1.1.519,3/31/2021,surveillance,99.7,4855,hCoV-19/USA/PA-VSP1532/2021,MZ156649
VSP1533,B.1.1.7,3/31/2021,surveillance,98.9,1591,hCoV-19/USA/PA-VSP1533/2021,MZ156650
VSP1534,B.1.1.7,3/31/2021,surveillance,99.7,8903,hCoV-19/USA/PA-VSP1534/2021,MZ156651
VSP1536,B.1.1.7,3/31/2021,surveillance,99.1,2572,hCoV-19/USA/PA-VSP1536/2021,MZ156652
VSP1537,B.1.1.7,3/31/2021,surveillance,99.3,4850,hCoV-19/USA/PA-VSP1537/2021,MZ156653
VSP1538,B.1.1.7,3/31/2021,surveillance,99.3,1848,hCoV-19/USA/PA-VSP1538/2021,MZ156654
VSP1539,B.1.575,3/31/2021,surveillance,99.4,6325,hCoV-19/USA/PA-VSP1539/2021,MZ156655
VSP1541,B.1.526,3/31/2021,surveillance,99.1,319,hCoV-19/USA/PA-VSP1541/2021,MZ156656
VSP1542,B.1.637,3/31/2021,surveillance,99.1,2225,hCoV-19/USA/NJ-VSP1542/2021,MZ156657
VSP1543,B.1.243,3/31/2021,surveillance,99.7,6054,hCoV-19/USA/VSP1543/2021,MZ512576
VSP1544,B.1.526,3/31/2021,surveillance,99.7,5876,hCoV-19/USA/VSP1544/2021,MZ512577
VSP1545,B.1.2,3/31/2021,surveillance,99.7,5127,hCoV-19/USA/VSP1545/2021,MZ512578
VSP1546,B.1.427,3/31/2021,surveillance,98.4,5611,hCoV-19/USA/VSP1546/2021,MZ512579
VSP1547,B.1.526,3/31/2021,surveillance,99.5,5184,hCoV-19/USA/VSP1547/2021,MZ512580
VSP1548,B.1.1.7,3/31/2021,surveillance,98.6,5560,hCoV-19/USA/VSP1548/2021,MZ512581
VSP1549,B.1.2,3/31/2021,surveillance,99.7,4718,hCoV-19/USA/VSP1549/2021,MZ512582
VSP1550,B.1.2,3/31/2021,surveillance,99.7,3517,hCoV-19/USA/VSP1550/2021,MZ512583
VSP1551,R.1,3/31/2021,surveillance,99.7,3633,hCoV-19/USA/VSP1551/2021,MZ512584
VSP1552,B.1.1.7,3/31/2021,surveillance,99.7,5530,hCoV-19/USA/VSP1552/2021,MZ512585
VSP1553,R.1,3/31/2021,surveillance,99.7,4381,hCoV-19/USA/VSP1553/2021,MZ512586
VSP1554,B.1.243,3/31/2021,surveillance,99.7,3694,hCoV-19/USA/VSP1554/2021,MZ512587
VSP1555,B.1.2,3/31/2021,surveillance,99.7,4788,hCoV-19/USA/VSP1555/2021,OK245940
VSP1556,B.1.2,3/31/2021,surveillance,99.7,4779,hCoV-19/USA/VSP1556/2021,MZ512588
VSP1557,B.1.1.7,3/31/2021,surveillance,99.7,4538,hCoV-19/USA/VSP1557/2021,MZ512589
VSP1558,R.1,3/31/2021,surveillance,98.9,4797,hCoV-19/USA/VSP1558/2021,MZ512590
VSP1559,B.1.1.7,3/31/2021,surveillance,99.7,6275,hCoV-19/USA/VSP1559/2021,MZ512591
VSP1560,B.1.1,3/31/2021,surveillance,99.7,5551,hCoV-19/USA/VSP1560/2021,MZ512592
VSP1561,B.1.243,3/31/2021,surveillance,98.3,4720,hCoV-19/USA/VSP1561/2021,MZ512593
VSP1562,B.1.1.7,3/31/2021,surveillance,99.7,4209,hCoV-19/USA/VSP1562/2021,MZ512594
VSP1563,R.1,3/31/2021,surveillance,98.9,4622,hCoV-19/USA/VSP1563/2021,MZ512595
VSP1564,B.1.110.3,3/31/2021,surveillance,99.7,4814,hCoV-19/USA/VSP1564/2021,MZ512596
VSP1565,B.1.526,3/31/2021,surveillance,99.7,4539,hCoV-19/USA/VSP1565/2021,MZ512597
VSP1566,B.1.311,3/31/2021,surveillance,99.7,4469,hCoV-19/USA/VSP1566/2021,MZ512598
VSP1567,B.1.1.7,3/31/2021,surveillance,99.7,4889,hCoV-19/USA/VSP1567/2021,MZ512599
VSP1568,B.1.1.7,3/31/2021,surveillance,99.7,4545,hCoV-19/USA/VSP1568/2021,MZ512600
VSP1569,B.1.1.7,3/31/2021,surveillance,99.7,4289,hCoV-19/USA/VSP1569/2021,MZ512601
VSP1570,B.1.110.3,3/31/2021,surveillance,99.7,5420,hCoV-19/USA/VSP1570/2021,MZ512602
VSP1571,B.1.1.7,3/31/2021,surveillance,99.7,4422,hCoV-19/USA/VSP1571/2021,MZ512603
VSP1572,B.1.110.3,3/31/2021,surveillance,99.7,4791,hCoV-19/USA/VSP1572/2021,MZ512604
VSP1573,B.1.1.7,3/31/2021,surveillance,99.7,4524,hCoV-19/USA/VSP1573/2021,MZ512605
VSP1574,B.1.2,3/31/2021,surveillance,99.7,3435,hCoV-19/USA/VSP1574/2021,MZ512606
VSP1575,R.1,3/31/2021,surveillance,98.9,5460,hCoV-19/USA/VSP1575/2021,MZ512607
VSP1576,B.1.526,3/31/2021,surveillance,99.7,4007,hCoV-19/USA/VSP1576/2021,MZ512608
VSP1577,B.1.2,3/31/2021,surveillance,99.7,3027,hCoV-19/USA/VSP1577/2021,MZ512609
VSP1578,B.1.311,3/31/2021,surveillance,99.7,1311,hCoV-19/USA/VSP1578/2021,MZ512610
VSP1579,B.1.2,3/31/2021,surveillance,99.7,3520,hCoV-19/USA/VSP1579/2021,MZ512611
VSP1580,B.1.1.7,3/31/2021,surveillance,99.7,3486,hCoV-19/USA/VSP1580/2021,MZ512612
VSP1581,B.1.637,3/31/2021,surveillance,99.3,2002,hCoV-19/USA/VSP1581/2021,MZ512613
VSP1582,B.1.1.519,3/31/2021,surveillance,99.7,4939,hCoV-19/USA/VSP1582/2021,MZ512614
VSP1583,B.1.1.7,3/31/2021,surveillance,99.7,5156,hCoV-19/USA/VSP1583/2021,MZ512615
VSP1584,B.1.2,3/31/2021,surveillance,99.7,5498,hCoV-19/USA/VSP1584/2021,MZ512616
VSP1585,B.1.1.7,3/31/2021,surveillance,99.7,4611,hCoV-19/USA/VSP1585/2021,MZ512617
VSP1586,B.1,3/31/2021,surveillance,95.7,389,hCoV-19/USA/VSP1586/2021,MZ512618
VSP1587,R.1,3/31/2021,surveillance,98.9,3618,hCoV-19/USA/VSP1587/2021,MZ512619
VSP1588,B.1.2,3/31/2021,surveillance,99.7,5652,hCoV-19/USA/VSP1588/2021,MZ512620
VSP1589,B.1.2,3/31/2021,surveillance,99.7,5249,hCoV-19/USA/VSP1589/2021,MZ512621
VSP1590,B.1.1.7,3/31/2021,surveillance,99.7,4834,hCoV-19/USA/VSP1590/2021,MZ512622
VSP1591,B.1.1.7,3/31/2021,surveillance,99.7,5256,hCoV-19/USA/VSP1591/2021,MZ512623
VSP1592,B.1.2,3/31/2021,surveillance,99.7,4861,hCoV-19/USA/VSP1592/2021,MZ512624
VSP1594,P.1,3/31/2021,surveillance,99.7,5406,hCoV-19/USA/VSP1594/2021,MZ512625
VSP1595,B.1.575,3/31/2021,surveillance,99.7,5614,hCoV-19/USA/VSP1595/2021,MZ512626
VSP1596,B.1.1.7,3/31/2021,surveillance,99.7,5705,hCoV-19/USA/VSP1596/2021,MZ512627
VSP1597,B.1.575,3/31/2021,surveillance,99.5,3699,hCoV-19/USA/VSP1597/2021,MZ512628
VSP1598,B.1.243,3/31/2021,surveillance,99.6,3865,hCoV-19/USA/VSP1598/2021,MZ512629
VSP1599,B.1.2,3/31/2021,surveillance,99.7,5309,hCoV-19/USA/VSP1599/2021,MZ512630
VSP1600,B.1.1.7,3/31/2021,surveillance,99.7,4583,hCoV-19/USA/VSP1600/2021,MZ512631
VSP1601,B.1.2,3/31/2021,surveillance,99.7,4550,hCoV-19/USA/VSP1601/2021,MZ512632
VSP1602,B.1.1.7,3/31/2021,surveillance,99.7,4400,hCoV-19/USA/VSP1602/2021,MZ512633
VSP1603,B.1.1.7,3/31/2021,surveillance,99.3,5007,hCoV-19/USA/VSP1603/2021,MZ512634
VSP1604,B.1.526,3/31/2021,surveillance,99.4,1634,hCoV-19/USA/VSP1604/2021,MZ512635
VSP1605,B.1.1.7,3/31/2021,surveillance,99.7,6208,hCoV-19/USA/VSP1605/2021,MZ512636
VSP1606,B.1.1.7,3/31/2021,surveillance,99.2,6614,hCoV-19/USA/VSP1606/2021,MZ512637
VSP1607,B.1.2,3/31/2021,surveillance,99.7,5535,hCoV-19/USA/VSP1607/2021,MZ512638
VSP1608,B.1.575,3/31/2021,surveillance,99.5,7714,hCoV-19/USA/VSP1608/2021,MZ512639
VSP1609,B.1.637,3/31/2021,surveillance,99.7,2472,hCoV-19/USA/VSP1609/2021,MZ512640
VSP1610,B.1.1.519,3/31/2021,surveillance,99.7,6531,hCoV-19/USA/VSP1610/2021,MZ512641
VSP1611,B.1.575,3/31/2021,surveillance,99.4,3801,hCoV-19/USA/VSP1611/2021,
VSP1612,B.1.1.7,3/31/2021,surveillance,99.7,6004,hCoV-19/USA/VSP1612/2021,MZ512642
VSP1613,B.1.243,3/31/2021,surveillance,99.7,6381,hCoV-19/USA/VSP1613/2021,MZ512643
VSP1614,B.1.575,3/31/2021,surveillance,99.4,5877,hCoV-19/USA/VSP1614/2021,MZ512644
VSP1615,B.1.1.7,3/31/2021,surveillance,99.7,5165,hCoV-19/USA/VSP1615/2021,MZ512645
VSP1616,B.1.526,3/31/2021,surveillance,99,363,hCoV-19/USA/VSP1616/2021,MZ512646
VSP1617,B.1.526,3/31/2021,surveillance,99.7,6009,hCoV-19/USA/VSP1617/2021,MZ512647
VSP1618,B.1.526,3/31/2021,surveillance,98.8,5407,hCoV-19/USA/VSP1618/2021,MZ512648
VSP1619,B.1.243,3/31/2021,surveillance,99.7,4637,hCoV-19/USA/VSP1619/2021,MZ512649
VSP1620,B.1.1.7,3/31/2021,surveillance,99.7,6507,hCoV-19/USA/VSP1620/2021,MZ512650
VSP1621,B.1.1.7,3/31/2021,surveillance,99.7,4693,hCoV-19/USA/VSP1621/2021,MZ512651
VSP1622,B.1.1.7,3/31/2021,surveillance,99.7,6782,hCoV-19/USA/VSP1622/2021,MZ512652
VSP1623,B.1.2,3/31/2021,surveillance,99.7,6332,hCoV-19/USA/VSP1623/2021,MZ512653
VSP1624,R.1,3/31/2021,surveillance,99.6,7737,hCoV-19/USA/VSP1624/2021,MZ512654
VSP1625,B.1.623,3/31/2021,surveillance,99.6,5940,hCoV-19/USA/VSP1625/2021,MZ512655
VSP1626,B.1.2,3/31/2021,surveillance,99.7,5022,hCoV-19/USA/VSP1626/2021,MZ512656
VSP1627,B.1.1.7,3/31/2021,surveillance,99.7,4738,hCoV-19/USA/VSP1627/2021,MZ512657
VSP1628,B.1.1.7,3/31/2021,surveillance,99.7,4508,hCoV-19/USA/VSP1628/2021,MZ512658
VSP1629,B.1.1.7,3/31/2021,surveillance,99.7,3169,hCoV-19/USA/VSP1629/2021,MZ512659
VSP1630,P.1,3/31/2021,surveillance,99.7,1709,hCoV-19/USA/VSP1630/2021,MZ512660
VSP1631,B.1.526,3/31/2021,surveillance,99.7,4774,hCoV-19/USA/VSP1631/2021,MZ512661
VSP1632,B.1.1.434,3/31/2021,surveillance,98.4,792,hCoV-19/USA/VSP1632/2021,
VSP1633,B.1.575,3/31/2021,surveillance,99.7,4941,hCoV-19/USA/VSP1633/2021,MZ512662
VSP1634,B.1.526,3/31/2021,surveillance,99.7,11610,hCoV-19/USA/VSP1634/2021,MZ512663
VSP1635,B.1.2,3/31/2021,surveillance,99.7,4380,hCoV-19/USA/VSP1635/2021,MZ512664
VSP1636,B.1.596,3/31/2021,surveillance,99.6,564,hCoV-19/USA/VSP1636/2021,MZ512665
VSP1637,B.1.575,3/31/2021,surveillance,99.7,7490,hCoV-19/USA/VSP1637/2021,MZ512666
VSP1638,B.1.2,3/31/2021,surveillance,99.7,1998,hCoV-19/USA/VSP1638/2021,MZ512667
VSP1639,B.1.526,3/31/2021,surveillance,99.6,486,hCoV-19/USA/VSP1639/2021,MZ512668
VSP1640,B.1.1.7,3/31/2021,surveillance,99.7,1094,hCoV-19/USA/VSP1640/2021,MZ512669
VSP1641,B.1.2,3/31/2021,surveillance,99.7,1280,hCoV-19/USA/VSP1641/2021,MZ512670
VSP1642,R.1,3/31/2021,surveillance,99.7,6403,hCoV-19/USA/VSP1642/2021,MZ512671
VSP1643,B.1.1.519,3/31/2021,surveillance,99.7,864,hCoV-19/USA/VSP1643/2021,MZ512672
VSP1644,B.1.526,3/31/2021,surveillance,99.7,487,hCoV-19/USA/VSP1644/2021,MZ512673
VSP1645,B.1.1.519,3/31/2021,surveillance,99.7,575,hCoV-19/USA/VSP1645/2021,MZ512674
VSP1646,B.1.1.7,3/31/2021,surveillance,99.7,4304,hCoV-19/USA/VSP1646/2021,MZ512675
VSP1647,B.1.526,3/31/2021,surveillance,99.7,1295,hCoV-19/USA/VSP1647/2021,MZ512676
VSP1648,B.1.1.7,3/31/2021,surveillance,99.7,370,hCoV-19/USA/VSP1648/2021,MZ512677
VSP1649,B.1.1.7,3/31/2021,surveillance,99.6,286,hCoV-19/USA/VSP1649/2021,MZ512678
VSP1650,B.1.1.7,3/31/2021,surveillance,99.7,400,hCoV-19/USA/VSP1650/2021,MZ512679
VSP1651,B.1.1.519,3/31/2021,surveillance,99.5,198,hCoV-19/USA/VSP1651/2021,MZ512680
VSP1652,B.1.526,3/31/2021,surveillance,99.7,300,hCoV-19/USA/VSP1652/2021,MZ512681
VSP1653,B.1.234,3/31/2021,surveillance,99.6,433,hCoV-19/USA/VSP1653/2021,MZ512682
VSP1654,B.1.1.519,3/31/2021,surveillance,99.7,3324,hCoV-19/USA/VSP1654/2021,MZ512683
VSP1655,B.1.575,3/31/2021,surveillance,99.7,783,hCoV-19/USA/VSP1655/2021,MZ512684
VSP1656,B.1.526,3/31/2021,surveillance,99.3,120,hCoV-19/USA/VSP1656/2021,MZ512685
VSP1657,B.1.1.7,3/31/2021,surveillance,99.7,2756,hCoV-19/USA/VSP1657/2021,MZ512686
VSP1658,B.1.1.7,3/31/2021,surveillance,99.7,400,hCoV-19/USA/VSP1658/2021,MZ512687
VSP1659,B.1.526,3/31/2021,surveillance,99.7,2361,hCoV-19/USA/VSP1659/2021,MZ512688
VSP1660,B.1.588,3/31/2021,surveillance,99.5,1133,hCoV-19/USA/VSP1660/2021,MZ512689
VSP1661,B.1.1.519,3/31/2021,surveillance,99.7,4758,hCoV-19/USA/VSP1661/2021,MZ512690
VSP1662,B.1.1.7,3/31/2021,surveillance,99.6,480,hCoV-19/USA/VSP1662/2021,MZ512691
VSP1663,B.1.2,3/31/2021,surveillance,99.3,117,hCoV-19/USA/VSP1663/2021,MZ512692
VSP1664,B.1.1.7,3/31/2021,surveillance,99.5,290,hCoV-19/USA/VSP1664/2021,MZ512693
VSP1665,B.1.526,3/31/2021,surveillance,99.7,1637,hCoV-19/USA/VSP1665/2021,MZ512694
VSP1666,B.1.575,3/31/2021,surveillance,99.7,1239,hCoV-19/USA/VSP1666/2021,MZ512695
VSP1667,B.1.526,3/31/2021,surveillance,99.7,482,hCoV-19/USA/VSP1667/2021,MZ512696
VSP1668,B.1.1.7,3/31/2021,surveillance,99.7,3403,hCoV-19/USA/VSP1668/2021,MZ512697
VSP1669,B.1.1.7,3/31/2021,surveillance,99.6,194,hCoV-19/USA/VSP1669/2021,MZ512698
VSP1670,B.1.1.7,3/31/2021,surveillance,99.7,317,hCoV-19/USA/VSP1670/2021,MZ512699
VSP1671,B.1.526,3/31/2021,surveillance,99.7,2108,hCoV-19/USA/VSP1671/2021,MZ512700
VSP1672,P.1.10,3/31/2021,surveillance,99.6,264,hCoV-19/USA/VSP1672/2021,MZ512701
VSP1673,B.1.1.7,3/31/2021,surveillance,99.7,3217,hCoV-19/USA/VSP1673/2021,MZ512702
VSP1674,B.1.526,3/31/2021,surveillance,99.1,9195,hCoV-19/USA/VSP1674/2021,MZ512703
VSP1675,B.1.526,3/31/2021,surveillance,99.7,2260,hCoV-19/USA/VSP1675/2021,MZ512704
VSP1676,B.1.526,3/31/2021,surveillance,99.7,1106,hCoV-19/USA/VSP1676/2021,MZ512705
VSP1677,B.1.526,3/31/2021,surveillance,99.6,938,hCoV-19/USA/VSP1677/2021,MZ512706
VSP1678,B.1.526,3/31/2021,surveillance,98.9,159,hCoV-19/USA/VSP1678/2021,MZ512707
VSP1679,B.1.526,3/31/2021,surveillance,99.7,2074,hCoV-19/USA/VSP1679/2021,MZ512708
VSP1680,B.1.2,3/31/2021,surveillance,99.7,8549,hCoV-19/USA/VSP1680/2021,MZ512709
VSP1681,B.1.1.519,3/31/2021,surveillance,99.7,473,hCoV-19/USA/VSP1681/2021,MZ512710
VSP1683,B.1.1.7,3/31/2021,surveillance,99.7,2775,hCoV-19/USA/VSP1683/2021,MZ512711
VSP1684,B.1.637,3/31/2021,surveillance,99.7,3133,hCoV-19/USA/VSP1684/2021,MZ512712
VSP1685,B.1.1.7,3/31/2021,surveillance,99.7,615,hCoV-19/USA/VSP1685/2021,MZ512713
VSP1686,B.1.1.7,3/31/2021,surveillance,99.7,1200,hCoV-19/USA/VSP1686/2021,MZ512714
VSP1687,B.1.526,3/31/2021,surveillance,99.6,497,hCoV-19/USA/VSP1687/2021,MZ512715
VSP1688,B.1.526,3/31/2021,surveillance,99.7,5578,hCoV-19/USA/VSP1688/2021,MZ512716
VSP1689,B.1.1.7,3/31/2021,surveillance,99.7,1737,hCoV-19/USA/VSP1689/2021,MZ512717
VSP1690,B.1.526,3/31/2021,surveillance,99.7,729,hCoV-19/USA/VSP1690/2021,MZ512718
VSP1691,B.1.1.7,3/31/2021,surveillance,99.7,17752,hCoV-19/USA/VSP1691/2021,MZ512719
VSP1692,B.1.1.7,3/31/2021,surveillance,99.6,462,hCoV-19/USA/VSP1692/2021,MZ512720
VSP1693,B.1.526,3/31/2021,surveillance,99.7,3653,hCoV-19/USA/VSP1693/2021,MZ512721
VSP1695,B.1.1.7,3/31/2021,surveillance,99.7,5356,hCoV-19/USA/VSP1695/2021,MZ512722
VSP1696,B.1.1.519,3/31/2021,surveillance,99.7,4405,hCoV-19/USA/VSP1696/2021,MZ512723
VSP1697,B.1.526,3/31/2021,surveillance,99.7,3351,hCoV-19/USA/VSP1697/2021,MZ512724
VSP1698,B.1.526,3/31/2021,surveillance,99.7,1907,hCoV-19/USA/VSP1698/2021,MZ512725
VSP1699,B.1.1.519,3/31/2021,surveillance,99.7,8812,hCoV-19/USA/VSP1699/2021,MZ512726
VSP1700,B.1.526,3/31/2021,surveillance,99.7,12498,hCoV-19/USA/VSP1700/2021,MZ512727
VSP1701,B.1.1.7,3/31/2021,surveillance,99.7,3592,hCoV-19/USA/VSP1701/2021,MZ512728
VSP1702,B.1.1.7,3/31/2021,surveillance,99.7,1037,hCoV-19/USA/VSP1702/2021,MZ512729
VSP1703,B.1.243,3/31/2021,surveillance,99.1,6070,hCoV-19/USA/VSP1703/2021,MZ512730
VSP1704,B.1.2,3/31/2021,surveillance,99.7,630,hCoV-19/USA/VSP1704/2021,MZ512731
VSP1705,B.1.1.7,3/31/2021,surveillance,99.7,5918,hCoV-19/USA/VSP1705/2021,MZ512732
VSP1706,B.1.1.7,3/31/2021,surveillance,99.7,803,hCoV-19/USA/VSP1706/2021,MZ512733
VSP1707,B.1.1.7,3/31/2021,surveillance,99.7,1171,hCoV-19/USA/VSP1707/2021,MZ512734
VSP1708,B.1.526,3/31/2021,surveillance,97.8,2276,hCoV-19/USA/VSP1708/2021,MZ512735
VSP1709,B.1.637,3/31/2021,surveillance,98.9,362,hCoV-19/USA/VSP1709/2021,MZ512736
VSP1710,B.1.1.519,3/31/2021,surveillance,99.7,5507,hCoV-19/USA/VSP1710/2021,MZ512737
VSP1711,B.1.526,3/31/2021,surveillance,99.7,4793,hCoV-19/USA/VSP1711/2021,MZ512738
VSP1712,B.1.526,3/31/2021,surveillance,99.7,658,hCoV-19/USA/VSP1712/2021,MZ512739
VSP1713,B.1.526,3/31/2021,surveillance,99.7,4171,hCoV-19/USA/VSP1713/2021,MZ512740
VSP1714,B.1.526,3/31/2021,surveillance,99.7,4457,hCoV-19/USA/VSP1714/2021,MZ512741
VSP1715,B.1.2,3/31/2021,surveillance,99.7,2311,hCoV-19/USA/VSP1715/2021,MZ512742
VSP1716,B.1.234,3/31/2021,surveillance,99.7,423,hCoV-19/USA/VSP1716/2021,MZ512743
VSP1717,B.1.1.519,3/31/2021,surveillance,99.7,11856,hCoV-19/USA/VSP1717/2021,MZ512744
VSP1718,B.1.526,3/31/2021,surveillance,99.6,404,hCoV-19/USA/VSP1718/2021,MZ512745
VSP1719,B.1.526,3/31/2021,surveillance,99.7,7563,hCoV-19/USA/VSP1719/2021,MZ512746
VSP1721,B.1.1.7,3/31/2021,hospitalized,97.6,719,hCoV-19/USA/PA-VSP1721/2021,OK245941
VSP1738,B.1.1.7,4/5/2021,s drop,99.7,3681,hCoV-19/USA/PA-VSP1738/2021,OK245942
VSP1739,B.1.1.7,4/5/2021,s drop,99.7,3065,hCoV-19/USA/PA-VSP1739/2021,OK245943
VSP1740,B.1.1.7,4/5/2021,s drop,99.7,1905,hCoV-19/USA/PA-VSP1740/2021,OK245944
VSP1741,B.1.1.7,4/5/2021,s drop,99.7,2105,hCoV-19/USA/PA-VSP1741/2021,OK245945
VSP1742,B.1.1.7,4/5/2021,s drop,99.7,1845,hCoV-19/USA/PA-VSP1742/2021,MZ156658
VSP1743,B.1.1.7,4/5/2021,s drop,99.7,2540,hCoV-19/USA/PA-VSP1743/2021,MZ156659
VSP1744,B.1.1.7,4/5/2021,s drop,99.7,2240,hCoV-19/USA/NJ-VSP1744/2021,MZ156660
VSP1746,B.1.1.7,4/5/2021,s drop,99.7,2647,hCoV-19/USA/NJ-VSP1746/2021,MZ156661
VSP1748,B.1.1.7,4/5/2021,s drop,99.7,2321,hCoV-19/USA/PA-VSP1748/2021,MZ156662
VSP1749,B.1.1.7,4/5/2021,s drop,99.7,2601,hCoV-19/USA/PA-VSP1749/2021,MZ156663
VSP1750,B.1.1.7,4/5/2021,s drop,99.7,2410,hCoV-19/USA/PA-VSP1750/2021,MZ156664
VSP1751,B.1.1.7,4/5/2021,s drop,99.7,2239,hCoV-19/USA/PA-VSP1751/2021,MZ156665
VSP1752,B.1.1.7,4/5/2021,s drop,99.7,2034,hCoV-19/USA/PA-VSP1752/2021,MZ156666
VSP1755,B.1.1.7,4/5/2021,s drop,99.7,2404,hCoV-19/USA/PA-VSP1755/2021,MZ156667
VSP1756,B.1.1.7,4/5/2021,s drop,97.9,2258,hCoV-19/USA/PA-VSP1756/2021,MZ156668
VSP1758,B.1.1.7,4/5/2021,s drop,96.6,1472,hCoV-19/USA/DE-VSP1758/2021,
VSP1760,B.1.1.7,4/5/2021,s drop,99.2,2377,hCoV-19/USA/PA-VSP1760/2021,MZ156669
VSP1761,B.1.1.7,4/5/2021,s drop,99.7,1980,hCoV-19/USA/PA-VSP1761/2021,MZ156670
VSP1762,B.1.1.7,4/5/2021,s drop,99.7,1611,hCoV-19/USA/PA-VSP1762/2021,MZ156671
VSP1764,B.1.1.7,4/5/2021,s drop,99.7,1642,hCoV-19/USA/PA-VSP1764/2021,MZ156672
VSP1765,B.1.1.7,4/5/2021,s drop,99.7,2535,hCoV-19/USA/PA-VSP1765/2021,MZ156673
VSP1766,B.1.1.7,4/5/2021,s drop,99.7,1916,hCoV-19/USA/PA-VSP1766/2021,MZ156674
VSP1767,B.1.1.7,4/5/2021,s drop,99.7,2038,hCoV-19/USA/PA-VSP1767/2021,MZ156675
VSP1768,B.1.1.7,4/5/2021,s drop,99.7,1936,hCoV-19/USA/PA-VSP1768/2021,MZ156676
VSP1769,B.1.1.7,4/5/2021,s drop,99.7,1542,hCoV-19/USA/PA-VSP1769/2021,MZ156677
VSP1770,B.1.1.7,4/5/2021,s drop,99.7,1847,hCoV-19/USA/PA-VSP1770/2021,MZ156678
VSP1771,B.1.1.7,4/5/2021,s drop,99.7,1383,hCoV-19/USA/PA-VSP1771/2021,MZ156679
VSP1772,B.1.1.7,4/5/2021,s drop,99.7,2332,hCoV-19/USA/PA-VSP1772/2021,MZ156680
VSP1773,B.1.1.7,4/5/2021,s drop,99.7,2034,hCoV-19/USA/PA-VSP1773/2021,MZ156681
VSP1774,B.1.1.7,4/5/2021,s drop,99.7,1861,hCoV-19/USA/PA-VSP1774/2021,MZ156682
VSP1775,B.1.1.7,4/5/2021,s drop,99.7,1785,hCoV-19/USA/PA-VSP1775/2021,MZ156683
VSP1776,B.1.1.7,4/5/2021,s drop,99.7,1913,hCoV-19/USA/PA-VSP1776/2021,MZ156684
VSP1777,B.1.1.7,4/5/2021,s drop,99.7,2938,hCoV-19/USA/PA-VSP1777/2021,MZ156685
VSP1778,B.1.1.7,4/5/2021,s drop,99.7,1518,hCoV-19/USA/PA-VSP1778/2021,MZ156686
VSP1779,B.1.1.7,4/5/2021,s drop,99.7,2394,hCoV-19/USA/PA-VSP1779/2021,MZ156687
VSP1780,B.1.575,4/5/2021,surveillance,99.7,2431,hCoV-19/USA/PA-VSP1780/2021,MZ156688
VSP1781,B.1.637,4/5/2021,surveillance,98.9,1119,hCoV-19/USA/PA-VSP1781/2021,MZ156689
VSP1782,B.1.526,4/5/2021,surveillance,99.7,2205,hCoV-19/USA/PA-VSP1782/2021,MZ156690
VSP1783,B.1.526,4/5/2021,surveillance,99.7,2377,hCoV-19/USA/PA-VSP1783/2021,MZ156691
VSP1784,B.1.575,4/5/2021,surveillance,99.7,1962,hCoV-19/USA/PA-VSP1784/2021,MZ156692
VSP1785,B.1.526,4/5/2021,surveillance,99.7,1783,hCoV-19/USA/PA-VSP1785/2021,MZ156693
VSP1786,R.1,4/5/2021,surveillance,99.7,2070,hCoV-19/USA/PA-VSP1786/2021,MZ156694
VSP1787,B.1.637,4/5/2021,surveillance,99.6,160,hCoV-19/USA/VSP1787/2021,MZ512747
VSP1788,B.1.2,4/5/2021,surveillance,99.6,219,hCoV-19/USA/VSP1788/2021,MZ512748
VSP1789,B.1.526,4/5/2021,surveillance,99.7,198,hCoV-19/USA/VSP1789/2021,MZ512749
